cycle,target_ml,measured_g,measured_ml,error_ml,error_pct,travel_mm,speed_mm_s,mm_per_ml_nominal,mm_per_ml_actual
1,0.7500,0.5600,0.7125,-0.0375,-5.00,13.5477,1.0000,18.0636,19.0152
2,0.7500,0.5300,0.6743,-0.0757,-10.09,13.5477,1.0000,18.0636,20.0915
3,0.7500,0.5700,0.7252,-0.0248,-3.31,13.5477,1.0000,18.0636,18.6816
4,0.7500,0.5400,0.6870,-0.0630,-8.40,13.5477,1.0000,18.0636,19.7194
5,0.7500,0.5000,0.6361,-0.1139,-15.18,13.5477,1.0000,18.0636,21.2970
