cycle,target_ml,measured_g,measured_ml,error_ml,error_pct,travel_mm,speed_mm_s,mm_per_ml_nominal,mm_per_ml_actual
1,0.1000,0.0790,0.1005,0.0005,0.51,1.8064,0.5000,18.0636,17.9721
2,0.2000,0.1570,0.1997,-0.0003,-0.13,3.6127,0.5000,18.0636,18.0866
